item,frequency(N3K50),frequency(N6K100),frequency(N9K150),frequency(N12K200),frequency(N15K250),frequency(N18K300),frequency(N21K350),frequency(N24K400)
z,816,409,816,409,409,409,409,409
r,382,382,382,382,382,382,382,382
n,397,397,397,397,397,397,397,397
b,788,788,412,412,412,412,412,412
f,414,414,414,414,414,414,414,414
s,370,370,370,370,370,370,370,370
u,340,340,340,340,340,340,340,340
t,384,384,384,384,384,384,384,384
m,788,788,376,376,376,376,376,376
a,368,368,368,368,368,368,368,368
l,419,419,419,419,419,419,419,419
h,365,365,365,365,365,365,365,365
k,387,387,387,387,387,387,387,387
e,404,404,404,404,404,404,404,404
p,755,755,755,375,755,755,375,375
y,338,338,338,338,338,338,338,338
o,816,407,816,407,407,407,407,407
v,388,388,388,388,388,388,388,388
j,755,755,755,380,755,755,380,380
d,379,379,379,379,379,379,379,379
q,784,784,408,784,408,408,408,408
g,409,409,409,409,409,409,409,409
w,362,362,362,362,362,362,362,362
c,395,395,395,395,395,395,395,395
x,356,356,356,356,356,356,356,356
i,784,784,376,784,376,376,376,376
